Name,Brand,Form,Type,Score,Description,PPP (350ml),link,Caffeine,Sweetness
White Peony,Rishi,Loose Leaf,White,9,"Toasty, nutty, a white-tea that somewhat tastes a bit closer to green tea than white, but less bitter. The pure taste of it is an ideal balance between bitter and sweet", $0.60 ,https://www.rishi-tea.com/collections/white-tea/products/organic-white-peony-tea?variant=44376703205626,2,2
Iron Goddess of Mercy,Rishi,Loose Leaf,Oolong,9,"Minimalistic, uniform, refreshing, brief tangy sweetness, if someone used magic to remove everything bad with mint, and only left the good parts", $2.00 ,https://www.rishi-tea.com/products/iron-goddess-of-mercy-oolong-tea?_pos=1&_sid=a1fccdaa7&_ss=r&variant=44462596194554,2,2
Blueberry Rooibos,Rishi,Loose Leaf,Botanical,8.5,"Sweet, mild, earthy, good amount of sharpness", $1.30 ,https://www.rishi-tea.com/products/organic-blueberry-rooibos-herbal-tea?_pos=1&_psq=Blueberry+Rooibos&_ss=e&_v=1.0&variant=44376691048698,0,3
Dragon Well,Rishi,Loose Leaf,Green,8.5,"Nutty, toasted green tea flavor, proeminent, a bit bitter, but less bitter than most green teas, a bit of an aftertaste", $1.00 ,https://www.rishi-tea.com/products/organic-dragon-well-green-tea?_pos=1&_sid=e10d39490&_ss=r&variant=44463049048314,2,0
Silver Needles,Rishi,Loose Leaf,White,8,"Mild, Refreshing", $2.20 ,https://www.rishi-tea.com/products/organic-silver-needles-white-tea?_pos=1&_psq=silver+needles&_ss=e&_v=1.0&variant=44463105900794,3,2
Greek Mountain Malotiras,Rishi,Stalks,Botanical,8,"Simple, refreshing, mildly earthy", $2.00 ,rishi-tea.com/products/greek-mountain-tea-malotiras?_pos=1&_psq=Greek+Mountain+Malotiras&_ss=e&_v=1.0,0,1
Breakfast,Compagnie & Co,Sachet,Black,8,"One of the best black teas I had, for some reason it really does not have a bitterness that is expected with black tea. Combines well with oatmilk.", $0.40 ,https://www.compagnie-co.com/en/unflavoured-black-teas/15-377-breakfast.html#/41-size-berlingo_25_tea_bags,3,1
Tangerine Ginger,Rishi,Loose Leaf,Botanical,8,"Fruity, sweet", $1.00 ,https://www.rishi-tea.com/products/organic-tangerine-ginger-herbal-tea?_pos=1&_psq=Tangerine+ginger&_ss=e&_v=1.0&variant=44463034138874,0,3
Peach Blossom,Rishi,Loose Leaf,White,8,"Peach with white tea notes; refreshing, fruitym energizing", $0.50 ,https://www.rishi-tea.com/products/organic-peach-blossom-white-tea?_pos=1&_psq=Peach+Blossom&_ss=e&_v=1.0&variant=44376698716410,3,3
Scarlet,Rishi,Loose Leaf,Botanical,8,Sweet, $1.20 ,https://www.rishi-tea.com/products/organic-scarlet-herbal-tea?_pos=1&_psq=Scarlet&_ss=e&_v=1.0&variant=44376700780794,0,3
Orange Blossom,Rishi,Loose Leaf,Botanical,8,"Citrus, Fruity, slightly: sour, acidic, and sweet; refreshing, slight aftertaste", $0.90 ,https://www.rishi-tea.com/products/organic-orange-blossom-green-tea?_pos=1&_psq=Orange+Blossom&_ss=e&_v=1.0&variant=44376698355962,2,2
Garden Party,Rishi,Sachet,Botanical,8,"Strawberry-ish, sweet, slight citrus", $0.60 ,https://www.rishi-tea.com/products/organic-garden-party-herbal-tea?_pos=1&_psq=Garden+Party&_ss=e&_v=1.0&variant=48238266581242,0,3
Hibiscus Berry,Rishi,Loose Leaf,Botanical,7.5,Very similar to blueberry rooibos but with a bit less taste, $1.20 ,https://www.rishi-tea.com/products/organic-hibiscus-berry-herbal-tea?_pos=1&_psq=Hibiscus+Berry&_ss=e&_v=1.0&variant=44376694915322,0,2
Golden Yunnan,Rishi,Loose Leaf,Black,7.5,"Refreshing, good, not as bitter as expected. I am just not that big of a fan of a black tea overall, this is one of the best I've had.", $1.10 ,https://www.rishi-tea.com/products/organic-golden-yunnan-black-tea?_pos=1&_psq=Golden+Yunnan&_ss=e&_v=1.0&variant=44462987706618,3,1
Chamomile Medley,Rishi,Loose Leaf,Botanical,7.5,"mild, simple", $0.50 ,https://www.rishi-tea.com/products/organic-chamomile-medley-herbal-tea?_pos=2&_psq=Chamomile+Medley&_ss=e&_v=1.0&variant=44376691900666,0,2
Jasmine Pearls,Rishi,Loose Leaf,Green,7.5,"Similar to Jasmine Moonlight, a bit better", $4.30 ,https://www.rishi-tea.com/products/jasmine-pearls-green-tea?_pos=1&_psq=Jasmine+Pear&_ss=e&_v=1.0&variant=44376688197882,2,2
Schisandra Berry Blush,Rishi,Loose Leaf,Botanical,7.5,"Tangy, Fruity, floral, great aroma, tiny bitter aftertaste", $2.20 ,https://www.rishi-tea.com/products/organic-schisandra-berry-herbal-tea?_pos=3&_psq=Schisandra&_ss=e&_v=1.0&variant=44467110347002,0,2
Jade Cloud,Rishi,Loose Leaf,Green,7,"Smells good, tastes like a strong green tea, and just as bitter as a strong green tea.", $1.10 ,https://www.rishi-tea.com/products/organic-jade-cloud-green-tea?_pos=1&_psq=Jade+Cloud&_ss=e&_v=1.0&variant=44462873477370,3,0
Moonlight Jasmine,Rishi,Loose Leaf,Green,7,"Bitter, strong, energizing", $2.40 ,https://www.rishi-tea.com/products/organic-moonlight-jasmine-green-tea?_pos=1&_psq=Moonlight+Jasmine&_ss=e&_v=1.0&variant=44376697471226,3,0
Rooibos,Rishi,Loose Leaf,Botanical,7,"Earthy, not as extreme as butterfly pea flower", $0.90 ,https://www.rishi-tea.com/products/organic-rooibos-tea?_pos=1&_psq=Rooibos&_ss=e&_v=1.0&variant=44376700518650,0,1
Ginseng Detox,Rishi,Loose Leaf,Botanical,6.5,"Punchy, artichoke-like", $2.50 ,https://www.rishi-tea.com/products/organic-ginseng-detox-herbal-tea?_pos=1&_psq=Ginseng+Detox&_ss=e&_v=1.0&variant=44376703074554,0,0
Lavender Mint,Rishi,Loose Leaf,Botanical,6.5,Just mint, $0.50 ,https://www.rishi-tea.com/products/organic-lavender-mint-teabag-sachets?_pos=1&_psq=Lavender+Mint&_ss=e&_v=1.0&variant=48191494815994,0,1
Pu'erh Tuo Cha,Rishi,Mini Cake,Pu'erh,6,"tastes like Black tea on steroids. Has a 'musty'—almost moldy—taste to it. Does not combine well with honey or sugar. Milk makes it tastier, almost nutty; but with a weird aftertaste.", $1.30 ,https://www.rishi-tea.com/products/organic-puer-tuo-cha-tea?_pos=3&_psq=Pu%27erh&_ss=e&_v=1.0&variant=44462979514618,3,0
Organic Darjeeling Green Tea,Trader's Joe,Sachet,Green,6,"had worse green teas and had better ones. Costco one is better. It has a bit of a unique taste to it, but not my cup of tea. However, it's extremely cheap, and not disgusting. I recommend it if saving money is essential.", $0.10 ,null,2,0
Thé Vert Sencha,Compagnie & Co,Sachet,Green,5.5,Awful. Has a strong after taste., $0.40 ,https://www.compagnie-co.com/fr/thes-verts/80-416-the-vert-sencha.html#/41-conditionnement-boite_25_sachets_berlingo_biodegradables,2,0
Mystic Mint,Rishi,Loose Leaf,Botanical,5,"Too powerful and bitter, would be better if it tasted milder, potential with sugar", $1.00 ,rishi-tea.com/products/organic-mystic-mint-herbal-tea?_pos=1&_psq=Mystic+&_ss=e&_v=1.0,0,0
Butterfly Pea Flower,Rishi,Loose Leaf,Botanical,5,Tastes like what I imagine ground soy/edamame pressed and milked would taste like. It is super earthy. Not good. Has a beautiful vibrant blue color though, $2.20 ,https://www.rishi-tea.com/products/butterfly-pea-flower-herbal-tea?_pos=1&_psq=Butterfly&_ss=e&_v=1.0&variant=44384444416250,0,0
Blueberry Hibiscus,Rishi,Sachet,Botanical,5,"A bit sour and musty, citrusy, sharp, vegetable/earthy taste like a stale asparagus/artichoke. Blueberry is barely noticeable. It's more like Rooibos, but if you left it to age for a while", $0.70 ,https://www.rishi-tea.com/products/organic-blueberry-hibiscus-teabag-sachets-50-count?_pos=2&_psq=Blueberry+Hibiscus&_ss=e&_v=1.0&variant=44376690819322,0,0
Chocolate Mint,Harney & Sons,Sachet,Black,2,"You know the smell of play-doh? It tastes like that. Artificial like taste, and, personally, has an artificial feeling of swetness to it. Disgusting", $0.40 ,https://www.harney.com/products/chocolate-mint?srsltid=AfmBOorMM5nG4CZSXOt4XIu1HsjRZSEomZe7Etd6XtNBQ9mqjj-6wXRU,2,3
Pumpkin spice ,Harney & Sons,Sachet,Other,2,"Same problem as other Harney & Sons teas: taste of play-doh. Just plain artificial like taste, dirty, overwhelming cinnamon. Blows my mind there are people who enjoy this. Dirty old rag water would taste better.", $0.40 ,https://www.harney.com/products/pumpkin-spice?srsltid=AfmBOoreHbgQbnsylv--uWLJMVsp74KnpxHYhQDhc_kYWnvWYb0pGQG8&variant=35000212102,2,2